timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-10-13 10:49:44,0.03,23.63,2.31,14,healthy
2025-10-13 10:49:50,0.01,23.71,2.32,12,healthy
2025-10-13 10:49:56,37.87,250.3,24.44,27,healthy
2025-10-13 10:50:02,0.03,23.62,2.31,14,healthy
2025-10-13 10:50:08,0.02,23.7,2.31,13,healthy
2025-10-13 10:50:14,99.94,1023,99.90,9,unhealthy
2025-10-13 10:50:19,0.03,23.63,2.31,14,healthy
2025-10-13 10:50:26,100.63,838.3,81.87,189,healthy
2025-10-13 10:50:30,46.93,305.5,29.83,26,healthy
2025-10-13 10:50:36,0.03,23.63,2.31,15,healthy
2025-10-13 10:50:42,0.02,23.7,2.31,12,healthy
2025-10-13 10:50:48,0.00,11,100.00,11,healthy
2025-10-13 10:50:54,4.23,23.71,2.32,11,healthy
2025-10-13 10:51:00,9.84,46.34,4.53,18,healthy
2025-10-13 10:51:06,0.02,23.64,2.31,14,healthy
2025-10-13 10:51:12,0.04,23.71,2.32,13,healthy
2025-10-13 10:51:18,0.00,24.3,2.37,9,healthy
2025-10-13 10:51:24,6.65,23.54,2.30,10,healthy
2025-10-13 10:51:29,0.03,23.69,2.31,11,healthy
2025-10-13 10:51:36,101.45,1024,100.00,63,healthy
2025-10-13 10:51:42,3.88,23.95,2.34,13,healthy
2025-10-13 10:51:48,97.11,627.4,61.27,89,healthy
2025-10-13 10:51:54,0.02,23.63,2.31,12,healthy
2025-10-13 10:51:59,0.03,23.7,2.31,8,healthy
2025-10-13 10:52:06,0.01,23.55,2.30,12,healthy
2025-10-13 10:52:12,0.02,23.7,2.31,12,healthy
2025-10-13 10:52:18,97.84,1024,100.00,84,healthy
2025-10-13 10:52:24,0.08,23.64,2.31,9,healthy
2025-10-13 10:52:29,38.81,252.5,24.66,22,healthy
2025-10-13 10:52:36,0.02,23.63,2.31,11,healthy
2025-10-13 10:52:42,0.01,23.71,2.32,12,healthy
2025-10-13 10:52:48,0.00,23.75,2.32,10,healthy
2025-10-13 10:52:54,0.02,23.54,2.30,14,healthy
2025-10-13 10:52:59,0.02,23.82,2.33,8,healthy
2025-10-13 10:53:06,101.57,1024,100.00,4,unhealthy
2025-10-13 10:53:12,4.69,23.68,2.31,12,healthy
2025-10-13 10:53:18,99.50,1024,100.00,90,healthy
2025-10-13 10:53:24,0.02,23.62,2.31,15,healthy
2025-10-13 10:53:29,0.01,23.7,2.31,12,healthy
2025-10-13 10:53:36,0.03,23.54,2.30,14,healthy
2025-10-13 11:00:54,100.25,1018,99.41,85,healthy
2025-10-13 11:01:00,0.02,46.75,4.57,10,healthy
2025-10-13 11:01:06,0.02,46.79,4.57,12,healthy
2025-10-13 11:01:12,100.31,911.2,88.98,76,healthy
2025-10-13 11:01:16,0.03,36.03,3.52,15,healthy
2025-10-13 11:01:21,0.02,36.11,3.53,8,healthy
2025-10-13 11:01:27,100.26,884,86.33,45,healthy
2025-10-13 11:01:33,0.02,35.1,3.43,14,healthy
2025-10-13 11:01:38,0.02,35.18,3.44,11,healthy
2025-10-13 11:01:44,0.00,11.74,1.15,9,healthy
2025-10-13 11:01:50,4.25,31.69,3.09,9,healthy
2025-10-13 11:01:56,99.75,1024,100.00,99,healthy
2025-10-13 11:02:02,0.02,31.16,3.04,12,healthy
2025-10-13 11:02:07,0.03,31.24,3.05,11,healthy
2025-10-13 11:02:13,0.00,31.01,3.03,14,healthy
2025-10-13 11:02:18,0.02,31.4,3.07,13,healthy
2025-10-13 11:02:24,99.74,1024,100.00,64,healthy
2025-10-13 11:02:30,0.02,31.23,3.05,10,healthy
2025-10-13 11:02:36,0.02,31.28,3.05,12,healthy
2025-10-13 11:02:42,98.44,1024,100.00,68,healthy
2025-10-13 11:02:47,99.75,1023,99.90,5,unhealthy
